,State,Total Population,Median Household Income,Per Capita Income,Unemployment Rate,Poverty Rate,Share of Population with HS Diploma,Gini Index,Hate Crimes Committed,"Hate Crime Rate per 100,000 Population",total_crimes_2017,share_per_state_2017
34,Rhode Island,1054491.0,58387.0,31904.0,7.685731158059881,13.291815672205832,0.8408066071687668,0.4722,11.0,1.0431573147613398,7334.0,0.14998636487592037
35,Louisiana,4645670.0,45652.0,25515.0,7.619529599540817,19.148368265503144,0.8113890999575949,0.4935,42.0,0.9040676587015436,7334.0,0.5726752113444232
36,Arkansas,2968472.0,42336.0,23401.0,6.831174904906732,18.27307112885013,0.8109694145674946,0.4725,26.0,0.875871492134674,7334.0,0.35451322607035723
37,Wisconsin,5754798.0,54610.0,29253.0,5.496942754265966,12.397863487128479,0.8099564919567985,0.4467,47.0,0.8167098132723338,7334.0,0.6408508317425688
38,Florida,19934451.0,48900.0,27598.0,8.34251997744028,15.747902964571233,0.823600158338948,0.4859,145.0,0.7273839645746953,7334.0,1.977092991546223
39,Oklahoma,3875589.0,48038.0,25628.0,5.916501677649518,16.027370291328623,0.8260305723852555,0.4658,28.0,0.7224708295951918,7334.0,0.3817834742296155
40,Texas,26956435.0,54727.0,27828.0,6.371043811663474,16.312642973746343,0.8697032452547973,0.4781,187.0,0.6937119096052575,7334.0,2.5497682028906463
41,Wyoming,583029.0,59143.0,30139.0,4.859468216416375,11.279370322917043,0.8402275015479505,0.4326,4.0,0.6860722193921743,7334.0,0.0545404963185165
42,Illinois,12851684.0,59196.0,31502.0,8.147454083918172,13.645923755984041,0.8463056670238702,0.4818,84.0,0.6536108419721494,7334.0,1.1453504226888465
43,Pennsylvania,12783977.0,54895.0,30137.0,7.188063677368817,12.88927537964125,0.7785426240989013,0.4777,75.0,0.5866718940436141,7334.0,1.0226343059721843
44,Alaska,736855.0,74444.0,34191.0,7.525813096947375,9.88335561270535,0.8559160214696243,0.4241,4.0,0.54284764302339,7334.0,0.0545404963185165
45,New Mexico,2082669.0,45674.0,24459.0,8.399930875838312,20.493607001400605,0.8564980801077848,0.4776,7.0,0.336107177856875,7334.0,0.09544586855740388
46,Iowa,3106589.0,54570.0,28872.0,4.524117127456931,11.904632379757992,0.8153205976072149,0.4381,10.0,0.3218964594286531,7334.0,0.13635124079629124
47,Georgia,10099320.0,51037.0,26678.0,8.45482437568677,17.297144758260952,0.8486446612247162,0.483,27.0,0.2673447321205784,7334.0,0.36814835014998637
48,Alabama,4841164.0,44758.0,24736.0,8.240621373378826,17.943329331540927,0.8289244074358977,0.4768,10.0,0.20656189296623703,7334.0,0.13635124079629124
49,Nevada,2839172.0,53094.0,27253.0,9.249311280453803,14.69643262190526,0.8358183301328697,0.4606,5.0,0.17610768209886543,7334.0,0.06817562039814562
